NK_cell	CD4	CD8	memory_B_cell	naive_B_cell	Neutrophil	Monocyte	Plasmocyte
TAPBP	1.6663606	1.156607	1.6114634	1.741354	1.4291469	1.1420262	1.3248048	1.5239549
TARS3	0.7619593	0.8974627	0.7706622	0.8222637	0.7332873	0.03286582	0.1650107	0.9594625
TBC1D10C	1.724929	1.190827	1.584662	1.181925	0.9924347	0.6783734	0.3091178	0.6549636
TBC1D27P	0.008443947	0.02415964	0.01903436	1.060451	0.08410447	0	0.01477539	0.8275192
TBX21	2.322559	0.06083149	1.976541	0.1481179	0.04262985	0.02943149	0.01737056	0.09822206
TC2N	0.5158669	1.167086	0.7508712	0.1089401	0.0984496	0.02916782	0.02857757	0.01829001
TCF7	0.5845479	2.3697467	1.0030036	0.4803373	0.2501713	0.02240293	0.05437069	0.1619002
TCL1A	0.02824247	0.02293818	0.05365174	0.3863913	5.66497	0	0.03202	0.01715328
TCN2	0.05456944	0.04548103	0.03275	0.009861942	0.04550984	0.008382112	1.337236	0.04339252
TES	1.5247291	0.7165173	1.3626767	0.7996329	0.523291	0.7608048	1.0118399	0.8080476
TET2	1.28969	0.3985837	1.1325112	0.9496938	0.5131044	1.303272	1.8560126	0.4227953
TFEC	0.03110066	0.0316874	0.02059933	0.6939174	0.1173677	0.1289276	1.86871561	0.04948049
TFRC	0.2224604	0.3062739	0.2226265	0.507598	0.2441153	0.1937589	0.2403446	1.2189767
TGFBI	0.02632784	0.01618942	0.01285581	0	0.003151238	0	1.307318644	0.01969
TGOLN2	1.5990208	1.2342328	1.4624175	1.4056025	1.1440507	1.3610297	1.7731429	0.8953843
THEMIS	0.040116	0.93074262	0.39112789	0.03114025	0.01450678	0	0.006028517	0.00727523
THEMIS2	1.2525614	0.26383	1.0848893	0.6189862	0.2563902	0.9264836	1.7235611	0.7077825
THRAP3	1.4659105	1.166375	1.39348	1.3782641	1.232632	0.5980298	0.9989597	1.627148
TIMP2	0.07891432	0.07767435	0.05942725	0.08958413	0.07943379	1.019925	1.356948	0.2546665
TKT	0.6163877	0.7627255	0.6148131	0.8902563	0.4251151	2.7807275	2.994481	1.4106325
TLN1	2.499833	1.310263	2.359197	1.483749	1.287957	1.906504	2.692027	1.195441
TLR10	0.06462519	0.0184707	0.01838247	1.61206622	0.5973974	0.15587712	0.03794617	0.18703202
TLR4	0.06205647	0.02325651	0.03499896	0.02101416	0.01399913	1.039855	2.08767016	0.03969426
TMA7	2.294933	2.1734	2.286006	1.81639	1.585359	1.677886	1.913729	1.957063
TMED4	0.9031027	0.7744103	0.8547086	0.7115863	0.6370709	0.2495995	0.4964479	0.9708659
TMEM123	0.7294098	2.137775	1.01301	0.7542664	1.464224	0.843668	1.341834	0.5572038
TMEM181	0.9782628	0.3267098	0.9034499	0.2058513	0.1423038	0.1226269	0.3029753	0.1659758
TNFRSF13B	0.01257038	0.02070432	0.01991479	2.556744	0.2536765	0.01142889	0.007509313	2.972654
TNFRSF13C	0.04379715	0.1631141	0.04115082	3.204077	3.146121	0	0.03344559	0.1705733
TNFRSF17	0.01820016	0	0.003019521	0.30366	0.1883908	0	0.003834349	6.094213
TNKS2	0.8331193	0.6267613	0.8131218	0.4662556	0.5747148	0.5232239	1.092369	0.5936223
TOX	1.2338075	0.1761739	1.0766053	0.51715	0.02498286	0.005938821	0.03236833	0.5676956
TPD52	0.7652488	0.4478127	0.78846	1.3678137	1.3437789	0.0202406	0.02571733	1.9234484
TPP2	1.199906	0.9825227	1.256531	0.7483427	0.6623595	0.2466127	0.8624182	1.791133
TPST2	1.441534	0.2383495	1.355086	0.259704	0.2302246	0.9736021	0.7555816	0.5714215
TRABD2A	0.02919527	1.72723718	0.2281987	0.1175547	0.1334772	0	0.009766077	0.04841804
TRAC	0.1370836	2.040058	0.5652704	0.1915925	0.07264416	0	0.01411704	0.1504169
TRANK1	1.2658058	0.6591809	1.2541963	0.790932	0.3933366	0.2760097	0.2096491	0.4301042
TRAT1	0.06178533	2.19905336	0.3390468	0.029795	0.009856539	0	0.008872198	0.008290842
TRBC2	1.4186025	2.1389289	1.5926518	0.9558028	0.9653916	0.02046313	0.03743374	0.4729686
TRDC	2.196685	0.174705	2.291865	0	0	0	0.01178674	0.009542929
TRMT10C	0.7273377	0.7674381	0.7992249	0.9075349	0.8061914	0.04293682	0.3308568	0.6291811
TSHR	0	0.1658956	0.01418335	0.06858736	0.01477105	0	0.0171893	0.9694177
TSHZ2	0.01499321	1.357263	0.044079	0.06421777	0.08885941	0	0.004460703	0.08256182
TSPAN32	1.9330678	0.5160433	1.7980261	0.1347247	0.1917202	0.3750144	0.4482489	0.07754836
TSPO	1.14808	0.9840307	1.123081	0.6012436	0.6211428	3.334213	2.873965	0.5858174
TSR3	0.7181127	0.6116452	0.6925238	0.7436984	0.6313186	0.2163526	0.5660652	0.8228172
TTC39C	0.4931635	1.551783	0.6622775	0.4681695	0.3394639	0.1592112	0.6128778	0.01371599
TXK	3.2735786	1.960142	2.8732376	0.03574319	0.06425533	0.02649044	0.04345674	0.05497563
TXN	0.4979912	0.5685605	0.5085167	0.4371046	0.1943374	1.8892677	1.1529906	1.599734
TXNDC5	0.02510714	0.01779229	0.02973658	0.1884373	0.18527848	0.005076691	0.02684665	2.53825856
TXNIP	2.978302	2.651326	2.962528	2.854282	3.17094	1.523869	2.15231	1.109256
TYROBP	2.00613	0.2340663	1.699522	0.1398663	0.1732202	2.59902	2.712293	0.2277983
U2SURP	1.430602	1.2569538	1.4141199	1.2703355	1.365203	0.49747	1.0913733	1.6233502
UBAC2	0.5277494	0.6472557	0.589331	0.5386071	0.4488967	0.1785573	0.6463516	0.09654207
UBE2D1	0.3304766	0.3552244	0.330874	0.4310813	0.3204497	1.489035	2.0270336	0.2474232
UBE2L3	1.185722	1.050056	1.139269	1.051012	0.7220733	0.7792977	1.281398	1.852936
UBE2V2	0.712462	0.5299695	0.7223155	0.715516	0.5104244	0.2098248	0.5953806	1.0517727
UBXN1	1.478276	1.539328	1.457002	1.590825	1.409189	0.4102037	1.270233	0.9226477
UFM1	0.914403	0.8165577	0.9411712	0.8516063	0.88332	0.2709801	0.7972988	1.580143
UHRF2	0.8919565	0.6751515	0.9772216	0.9985804	1.0515694	0.2244175	0.4171462	0.9037837
USP28	1.509045	0.1740185	1.237552	0.814839	0.9422267	0.05294703	0.1912934	0.9585007
VAMP8	1.183674	0.7750021	1.0743221	0.8357463	0.5677512	0.4062242	1.8985325	0.602243
VCAN	0.08880886	0.03393638	0.04888951	0	0.005082755	0.006368102	3.6009704	0.1383356
VPREB3	0.010328	0.01508256	0.006770074	2.137276	2.295967	0.004894593	0.02315826	0.06229943
VPS4A	0.825497	0.5788574	0.6885151	0.5861153	0.4057119	0.3349995	0.6567369	0.7640305
WDFY4	0.04294091	0.02869267	0.02366278	1.6821423	1.0055873	0.4120281	0.5837148	0.2539694
WWC3	0.3735548	0.2516796	0.3593414	0.2792587	0.9166291	0.3667031	0.5786015	0.3836882
XCL1	0.35890901	0.01520892	0.6022845	0	0.006680413	0	0.003410455	0.008101814
XRRA1	0.3325438	0.2713517	0.3429083	0.1841369	0.3966677	0.04734002	0.07616217	0.4348651
YBX3	0.08490601	0.1405389	0.1404582	0.4138574	2.000533	0.006015808	0.9243369	0.333625
YPEL1	2.573485	0.2459672	2.215457	0.3295998	0.398109	0.1092368	0.03773894	0.1326361
YTHDC1	1.6063448	1.234615	1.6245132	1.381408	1.3849331	0.8112098	1.0299646	1.1765225
YWHAH	0.4507676	0.570966	0.527484	0.7560815	0.4559028	1.312221	0.971789	1.047096
ZAP70	2.0676373	0.8920881	1.8071277	0.06780421	0.07927327	0.1504986	0.03334319	0.05838114
ZBTB1	1.833593	0.9578043	1.742477	1.294625	1.009105	0.3630147	0.7111217	0.5447502
ZEB2	2.0540057	0.1278476	1.729719	0.947747	0.8917132	0.5424134	2.4097263	0.1329665
ZFAS1	0.8405277	1.851001	1.023707	1.77488	1.725663	1.210088	1.848535	0.7407902
ZFHX3	0.07029801	0.02120892	0.08390098	0.1830078	0.07247829	0.002781637	0.700517	0.02835791
ZFX	1.335174	0.918746	1.317358	1.203367	1.13208	0.5611448	0.8841933	0.8939142
ZNF33A	0.9507991	0.92483	0.974884	1.0626657	1.040792	0.7049255	0.5706581	0.6189124
ZNF490	0.4804315	0.1217234	0.4765788	0.1659115	0.3746629	0.0590958	0.1377622	0.1700049
ZNF83	1.19168	0.9278803	1.212588	1.03739	0.9389725	0.2004217	0.2799984	0.1067137
ZYX	0.6508292	0.5168467	0.6418823	0.2901185	0.1459965	1.7893943	1.995066	0.2466225
ZZEF1	0.9713603	0.6815234	0.8903968	0.529899	0.6280928	0.5474545	0.7473099	0.6437752
